id,title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,attachments,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,ORG_id,UST_ID,ar_user,owner,created_by,updated_dt,created_dt,updated_by
30,Test,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
29,Phone Id lookup 2,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
28,Phone Id lookup,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
27,Bad User Story,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
26,Not quite as bad a user story,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
25,worst user story just waiting for refinement,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
24,Bird takes flight,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
23,Bird takes flight Part 2,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
22,Bird takes flight Part 3,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:44:18,2020-02-06 14:44:18,6
21,Test,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
20,Phone Id lookup 2,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
19,Phone Id lookup,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
18,Bad User Story,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
17,Not quite as bad a user story,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
16,worst user story just waiting for refinement,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
15,Bird takes flight,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
14,Bird takes flight Part 2,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
13,Bird takes flight Part 3,,,0,,,0,None,0,0,0,,,,,,,6,2020-02-06 14:43:23,2020-02-06 14:43:23,6
11,Bird takes flight Part 5,As a bird I want to flap my wings so that I can fly south for the winter,,0,,,0,None,0,0,50,,,4,1,6,4,6,2020-02-06 12:22:40,2020-02-06 12:22:40,6
10,Bird takes flight Part 6,As a bird I want to flap my wings so that I can fly south for the winter &&&&,,0,,,0,None,0,0,50,,,4,1,6,4,6,2020-02-06 12:22:40,2020-02-06 12:22:40,6
9,Bird takes flight Part 7,I want to flap my wings,,0,,,0,None,0,0,30,,,4,1,6,4,6,2020-02-06 12:22:39,2020-02-06 12:22:39,6
8,Bird takes flight Part 8,so that I can fly,,0,,,0,None,0,0,25,,,4,1,6,4,6,2020-02-06 12:22:39,2020-02-06 12:22:39,6
7,ISBN Scan,As a Book Lover I want to scan the ISBN code so that I can log in my book faster,TBD,0,TBD,,0,None,1,0,80,7,4,4,1,4,4,4,2020-02-05 11:18:58,2020-02-05 11:18:58,4
6,FindTrader(Spike),As a Team Member I want to research trading APIs so that we can connect to other systems,TBD,0,TBD,,0,None,1,0,88,9,3,4,2,4,4,4,2020-02-05 11:10:33,2020-02-05 11:10:33,4
5,FindPODShop,TBD,TBD,0,TBD,,0,None,1,0,15,,3,4,1,4,4,4,2020-02-05 11:04:07,2020-02-05 11:04:07,4
4,Book Capture,As a Book Lover I want to log my book so that it is captured in BookMIne,TBD,0,TBD,2,0,None,1,0,80,,3,4,2,4,4,4,2020-02-05 11:05:18,2020-02-05 10:57:07,4
