title,owner,backlog_score,Backlog_size,team_list,product_parent,BL_STATUS,created_by,created_dt,updated_by,updated_dt,organization_name
Backlog 2,jitendra narvaria ,84,2,,BestEverMortgage 2020 Enhancements (example),New,jitendra narvaria ,2020-02-07 19:52:38.652815+00:00,jitendra narvaria ,2020-02-08 07:06:07.902189+00:00,digimok
Tony Timbol,jitendra narvaria ,86.75,102,Team Kelvin,BestEverMortgage 2020 Enhancements (example),Active,jitendra narvaria ,2020-02-07 19:52:38.675990+00:00,jitendra narvaria ,2020-02-08 07:04:15.015794+00:00,digimok
BookTrader-1,jitendra narvaria ,80,2,Team Kelvin,Product 1,Active,jitendra narvaria ,2020-02-07 19:52:38.708470+00:00,jitendra narvaria ,2020-02-08 08:05:46.842268+00:00,digimok
BookMineDash,jitendra narvaria ,87,0,Team Newton,BookTrader,Active,jitendra narvaria ,2020-02-07 19:52:38.740661+00:00,jitendra narvaria ,2020-02-08 07:02:30.850870+00:00,digimok
Backlog 1,jitendra narvaria ,80,2,Team Newton|Team Kelvin|Team DaVinci,BestEverMortgage 2020 Enhancements (example),Active,jitendra narvaria ,2020-02-07 19:52:38.799455+00:00,jitendra narvaria ,2020-02-08 07:07:44.957317+00:00,digimok
Digimonk BookMineCore,jitendra narvaria ,91,20,Team Digimonk,None,New,jitendra narvaria ,2020-02-10 09:08:08.485213+00:00,jitendra narvaria ,2020-02-10 09:08:08.485224+00:00,digimok
Digimonk BookMineDash,jitendra narvaria ,100,8,Team Digimonk Second,None,Active,jitendra narvaria ,2020-02-10 09:08:37.756640+00:00,jitendra narvaria ,2020-02-10 09:56:08.966102+00:00,digimok
Digimonk BookTrader-1,jitendra narvaria ,92,40,Team Digimonk|Team Digimonk Second,None,Active,jitendra narvaria ,2020-02-10 09:09:05.396284+00:00,jitendra narvaria ,2020-02-10 09:09:05.396294+00:00,digimok
,jitendra narvaria ,92,40,Team Digimonk|Team Digimonk Second,None,Active,jitendra narvaria ,,jitendra narvaria ,2020-02-10 09:09:05.396294+00:01,digimok
Digimonk BookTrader-3,jitendra narvaria ,92,40,Team Digimonk|Team Digimonk Second,BestEverMortgage 2020 Enhancements (example),Active, ,2020-02-10 09:09:05.396284+00:02,jitendra narvaria ,2020-02-10 09:09:05.396294+00:02,digimok
