title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,Shubham,2020-03-12 09:06:33.176142+00:00,2020-03-12 09:06:33.176130+00:00,Shubham,digimonk,/media/None
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,Discovery,None,Shubham,Shubham,2020-03-12 09:06:34.003892+00:00,2020-03-12 09:06:34.003887+00:00,Shubham,digimonk,/media/None
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,80,None,Pending,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:34.883470+00:00,2020-03-12 09:06:34.883462+00:00,Shubham,digimonk,/media/None
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,Ideation,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.348285+00:00,2020-03-12 09:06:35.348278+00:00,Shubham,digimonk,/media/None
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,78,None,Not Ready,Discovery,None,Shubham,Shubham,2020-03-12 09:06:35.372705+00:00,2020-03-12 09:06:35.372699+00:00,Shubham,digimonk,/media/None
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,75,None,Pending,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.397052+00:00,2020-03-12 09:06:35.397046+00:00,Shubham,digimonk,/media/None
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,70,None,Ideation,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.421640+00:00,2020-03-12 09:06:35.421634+00:00,Shubham,digimonk,/media/None
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,70,None,Pending,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.445923+00:00,2020-03-12 09:06:35.445917+00:00,Shubham,digimonk,/media/None
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,70,None,Not Ready,Functional,None,Shubham,Shubham,2020-03-12 09:06:35.470391+00:00,2020-03-12 09:06:35.470385+00:00,Shubham,digimonk,/media/None
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.494733+00:00,2020-03-12 09:06:35.494727+00:00,Shubham,digimonk,/media/None
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,73,None,Pending,Discovery,None,Shubham,Shubham,2020-03-12 09:06:35.519065+00:00,2020-03-12 09:06:35.519059+00:00,Shubham,digimonk,/media/None
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,Not Ready,Non-Functional Requirement,None,Shubham,Shubham,2020-03-12 09:06:35.543366+00:00,2020-03-12 09:06:35.543361+00:00,Shubham,digimonk,/media/None
