title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
Book Capture,As a Book Lover I want to log my book so that it is captured in BookMIne,TBD,0.0,TBD,None,0.0,True,False,80.0,None,Ideation,Discovery,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.444653+00:00,2020-02-07 17:58:47.444643+00:00,jitendra narvaria ,digimok,/media/None
ISBN Scan,As a Book Lover I want to scan the ISBN code so that I can log in my book faster,TBD,0.0,TBD,None,0.0,True,False,80.0,None,Not Ready,Functional,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.471892+00:00,2020-02-07 17:58:47.471883+00:00,jitendra narvaria ,digimok,/media/None
FindPODShop,TBD,TBD,0.0,TBD,None,0.0,True,False,15.0,None,Ideation,Functional,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.496431+00:00,2020-02-07 17:58:47.496423+00:00,jitendra narvaria ,digimok,/media/None
FindTrader(Spike),As a Team Member I want to research trading APIs so that we can connect to other systems,TBD,0.0,TBD,None,0.0,True,False,88.0,Epic,Ideation,Discovery,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.521627+00:00,2020-02-07 17:58:47.521619+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight Part 8,so that I can fly,,0.0,,None,0.0,False,False,25.0,Smallish,Pending,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.547035+00:00,2020-02-07 17:58:47.547027+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight Part 7,I want to flap my wings,,0.0,,None,0.0,False,False,30.0,None,None,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.568186+00:00,2020-02-07 17:58:47.568178+00:00,Aman,digimok,/media/None
Bird takes flight Part 6,As a bird I want to flap my wings so that I can fly south for the winter &&&&,,0.0,,None,0.0,False,False,50.0,None,Pending,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.591504+00:00,2020-02-07 17:58:47.591496+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight Part 5,As a bird I want to flap my wings so that I can fly south for the winter,,0.0,,None,0.0,False,False,50.0,None,None,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.612319+00:00,2020-02-07 17:58:47.612311+00:00,Aman,digimok,/media/None
Bird takes flight Part 3,,,0.0,,None,0.0,False,False,0.0,None,None,None,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.631642+00:00,2020-02-07 17:58:47.631634+00:00,Aman,digimok,/media/None
Bird takes flight Part 2,,,0.0,,Digimonk BookMineCore,0.0,False,False,91.0,None,Active,Functional,jitendra narvaria ,kartik,Aman,2020-02-07 17:58:47.650405+00:00,2020-02-12 13:24:38.310488+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight,,this is agile testing part,66.4,that's  why we are using the this,Backlog 1,103.29,False,False,80.0,Smallish,Ideation,Discovery,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.670440+00:00,2020-02-12 12:56:25.249006+00:00,jitendra narvaria ,digimok,/media/None
worst user story just waiting for refinement,,As a Book Lover I want to research trading APIs so that it is captured in BookMIne,65.22,As a Book Lover I want to research trading APIs so that it is captured in BookMIne,BookTrader-1,65.22,False,False,80.0,Smallish,Active,Non-Functional Requirement,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.690001+00:00,2020-02-12 12:53:06.569979+00:00,jitendra narvaria ,digimok,/media/None
