title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
Book Capture,As a Book Lover I want to log my book so that it is captured in BookMIne,TBD,0.0,TBD,None,0.0,True,False,80.0,None,Ideation,Discovery,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.444653+00:00,2020-02-07 17:58:47.444643+00:00,jitendra narvaria ,digimok,/media/None
ISBN Scan,As a Book Lover I want to scan the ISBN code so that I can log in my book faster,TBD,0.0,TBD,None,0.0,True,False,80.0,None,Not Ready,Functional,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.471892+00:00,2020-02-07 17:58:47.471883+00:00,jitendra narvaria ,digimok,/media/None
FindPODShop,TBD,TBD,0.0,TBD,None,0.0,True,False,15.0,None,Ideation,Functional,jitendra narvaria ,jitendra narvaria ,jitendra narvaria ,2020-02-07 17:58:47.496431+00:00,2020-02-07 17:58:47.496423+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight Part 7,I want to flap my wings,,0.0,,None,0.0,False,False,30.0,None,None,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.568186+00:00,2020-02-07 17:58:47.568178+00:00,Aman,digimok,/media/None
Bird takes flight Part 6,As a bird I want to flap my wings so that I can fly south for the winter &&&&,,0.0,,None,0.0,False,False,50.0,None,Pending,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.591504+00:00,2020-02-07 17:58:47.591496+00:00,jitendra narvaria ,digimok,/media/None
Bird takes flight Part 5,As a bird I want to flap my wings so that I can fly south for the winter,,0.0,,None,0.0,False,False,50.0,None,None,Functional,Aman,jitendra narvaria ,Aman,2020-02-07 17:58:47.612319+00:00,2020-02-07 17:58:47.612311+00:00,Aman,digimok,/media/None
Bird takes flight Part 3,,,0.0,,None,0.0,False,False,0.0,None,None,None,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.631642+00:00,2020-02-07 17:58:47.631634+00:00,Aman,digimok,/media/None
Bird takes flight Part 2,,,0.0,,Digimonk BookMineCore,0.0,False,False,91.0,None,Active,Functional,jitendra narvaria ,kartik,Aman,2020-02-07 17:58:47.650405+00:00,2020-02-12 13:24:38.310488+00:00,jitendra narvaria ,digimok,/media/None
Not quite as bad a user story,,,0.0,,BookMineDash,0.0,False,False,87.0,None,Pending,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.709353+00:00,2020-02-12 12:45:30.630235+00:00,jitendra narvaria ,digimok,/media/None
Phone Id lookup 2,,this is aa,119.19,what's in your mind,Backlog 2,118.18,False,False,80.0,None,Active,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.767944+00:00,2020-02-12 12:48:15.372977+00:00,jitendra narvaria ,digimok,/media/None
Test,,,0.0,,Tony Timbol,0.0,False,False,88.0,None,Pending,Functional,jitendra narvaria ,jitendra narvaria ,Aman,2020-02-07 17:58:47.787618+00:00,2020-02-08 11:19:55.481408+00:00,jitendra narvaria ,digimok,/media/attachments/day_2_dinner_5e2ab4ef434d4.jpg
Test Stroy,As a Team Member I want to read and write the code so that I can log in my book faster,,0.0,,Tony Timbol,0.0,True,False,83.0,None,Pending,Discovery,kartik,jitendra narvaria ,jitendra narvaria ,2020-02-12 11:03:17.169094+00:00,2020-02-12 11:03:17.169086+00:00,jitendra narvaria ,digimok,/media/None
