IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,Shubham,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,None,None,,FlexTeam (example),0,0,Shubham,2020-03-12 09:06:35.876924+00:00,Shubham,2020-03-12 09:06:35.876938+00:00,AR_ITER_123,digimonk
Iteration 2 for Product P1,Shubham,2020-02-17,2020-02-28,This is an example iteration for training purposes,None,Backlog for P2 (example),,Team-T1 (example),0,0,Shubham,2020-03-12 09:06:35.904413+00:00,Shubham,2020-03-12 09:06:35.904424+00:00,AR_ITER_124,digimonk
Sprint 1 for Product P2,Shubham,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:22:23.799066+00:00,Shubham,2020-03-12 11:22:23.799074+00:00,AR_ITER_127,digimonk
Sprint 2 for Product P2,Shubham,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:25:45.927271+00:00,Shubham,2020-03-12 11:25:45.927278+00:00,AR_ITER_128,digimonk
Iteration 1 for BestEverM,Shubham,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:26:41.013503+00:00,Shubham,2020-03-12 11:26:41.013511+00:00,AR_ITER_129,digimonk
Iteration 2 for BestEverM,Shubham,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:27:15.852974+00:00,Shubham,2020-03-12 11:27:15.852983+00:00,AR_ITER_130,digimonk
Iteration 1 for API,Shubham,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:27:45.879067+00:00,Shubham,2020-03-12 11:27:45.879075+00:00,AR_ITER_131,digimonk
Iteration 2 for API,Shubham,2020-03-30,2020-04-10,This is an example iteration for training purposes,None,None,,None,0,0,Shubham,2020-03-12 11:28:33.935417+00:00,Shubham,2020-03-12 11:28:33.935436+00:00,AR_ITER_132,digimonk
Feb Cycle (1) for BestEverM,Shubham,2020-02-01,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,Shubham,2020-03-12 11:29:11.906773+00:00,Shubham,2020-03-12 11:29:11.906781+00:00,AR_ITER_133,digimonk
Mar Cycle (2) for BestEverM,Shubham,2020-03-01,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,Shubham,2020-03-12 11:29:46.629651+00:00,Shubham,2020-03-12 11:29:46.629671+00:00,AR_ITER_134,digimonk
