Benefits_id,Benefits_title,Benefits_description,Use_in,created_by,created_dt,updated_by,updated_dt
AR_BENEFITE_78,I can soar,(example),,Shubham,2020-02-21 08:03:57.529166+00:00,Shubham,2020-02-21 08:03:57.529181+00:00,digimonk
AR_BENEFITE_79,I can recieve an audit,(example),,Shubham,2020-02-21 08:04:23.640314+00:00,Shubham,2020-02-21 08:04:23.640331+00:00,digimonk
AR_BENEFITE_80,I can manage partners,(example),,Shubham,2020-02-21 08:04:49.108603+00:00,Shubham,2020-02-21 08:04:49.108617+00:00,digimonk
AR_BENEFITE_84,Benefit 1,(edit as needed),,Shubham,2020-03-12 10:05:59.204577+00:00,Shubham,2020-03-12 10:05:59.204591+00:00,digimonk
AR_BENEFITE_85,Benefit 2,(edit as needed),,Shubham,2020-03-12 10:07:23.863364+00:00,Shubham,2020-03-12 10:07:23.863374+00:00,digimonk
AR_BENEFITE_86,Benefit 3,(edit as needed),,Shubham,2020-03-12 10:07:44.689235+00:00,Shubham,2020-03-12 10:07:44.689240+00:00,digimonk
AR_BENEFITE_87,Benefit 4,(edit as needed),,Shubham,2020-03-12 10:08:03.740461+00:00,Shubham,2020-03-12 10:08:03.740472+00:00,digimonk
AR_BENEFITE_88,Benefit 5,(edit as needed),,Shubham,2020-03-12 10:08:20.142607+00:00,Shubham,2020-03-12 10:08:20.142619+00:00,digimonk
AR_BENEFITE_89,Benefit 6,(edit as needed),,Shubham,2020-03-12 10:08:32.695170+00:00,Shubham,2020-03-12 10:08:32.695180+00:00,digimonk
AR_BENEFITE_90,Benefit 7,(edit as needed),,Shubham,2020-03-12 10:08:49.079731+00:00,Shubham,2020-03-12 10:08:49.079742+00:00,digimonk
AR_BENEFITE_91,Benefit 8,(edit as needed),,Shubham,2020-03-12 10:09:00.740693+00:00,Shubham,2020-03-12 10:09:00.740709+00:00,digimonk
